Country,Year,FIFA Rank
Czechoslovakia,1970,6
Uruguay,1970,9
Sweden,1970,10
Bulgaria,1970,16
Romania,1970,19
Belgium,1970,22
Peru,1970,30
Mexico,1970,32
Morocco,1970,36
Israel,1970,39
El Salvador,1970,66
Brazil,1966,1
Soviet Union,1966,2
England,1966,3
Argentina,1966,4
Italy,1966,5
Hungary,1966,6
West Germany,1966,7
Spain,1966,9
Mexico,1966,10
Uruguay,1966,13
North Korea,1966,15
Portugal,1966,16
Bulgaria,1966,17
France,1966,23
Chile,1966,24
Switzerland,1966,39
Brazil,1962,1
Soviet Union,1962,2
Argentina,1962,3
Czechoslovakia,1962,4
Yugoslavia,1962,5
Spain,1962,6
Hungary,1962,7
England,1962,8
Uruguay,1962,9
West Germany,1962,10
Italy,1962,15
Mexico,1962,16
Bulgaria,1962,20
Chile,1962,23
Switzerland,1962,26
Colombia,1962,85
Hungary,1958,1
Argentina,1958,2
England,1958,3
Brazil,1958,4
West Germany,1958,5
Austria,1958,7
Yugoslavia,1958,8
Czechoslovakia,1958,9
Soviet Union,1958,10
France,1958,13
Scotland,1958,14
Sweden,1958,17
Mexico,1958,20
Paraguay,1958,21
Northern Ireland,1958,26
Wales,1958,28
Hungary,1954,1
Brazil,1954,3
England,1954,4
West Germany,1954,5
Yugoslavia,1954,6
Scotland,1954,8
Italy,1954,9
Uruguay,1954,10
Austria,1954,11
Belgium,1954,14
France,1954,15
Czechoslovakia,1954,17
Mexico,1954,24
South Korea,1954,26
Switzerland,1954,27
Turkey,1954,35
England,1950,2
Sweden,1950,3
Brazil,1950,4
Italy,1950,5
Spain,1950,9
Paraguay,1950,10
Mexico,1950,12
Yugoslavia,1950,13
Uruguay,1950,18
Switzerland,1950,21
Chile,1950,33
United States ,1950,40
Bolivia,1950,63
Italy,1938,2
Hungary,1938,6
Brazil,1938,7
Germany,1938,11
Czechoslovakia,1938,13
Norway,1938,17
Netherlands,1938,19
Switzerland,1938,23
Sweden,1938,27
Poland,1938,30
France,1938,32
Belgium,1938,37
Romania,1938,38
Cuba,1938,41
Dutch East Indies,1938,46
Argentina,1934,1
Austria,1934,2
Italy,1934,5
Brazil,1934,6
Spain,1934,7
Czechoslovakia,1934,9
Hungary,1934,11
Germany,1934,12
United States,1934,14
Sweden,1934,17
Egypt,1934,18
Netherlands,1934,21
Romania,1934,26
France,1934,30
Switzerland,1934,31
Belgium,1934,38
Argentina,1930,1
Uruguay,1930,3
Brazil,1930,7
Paraguay,1930,15
United States,1930,20
Belgium,1930,27
Mexico,1930,30
Chile,1930,32
Yugoslavia,1930,33
Romania,1930,35
Peru,1930,36
France ,1930,40
Bolivia,1930,61
